"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"1923839577967509639","@diana_dukic @AdrianDittmann 😂","qme","Reply","Kekius Maximus","elonmusk","25541","157","48","13","535","10","2025-05-18 02:04:33","https://x.com/elonmusk/status/1923839577967509639","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923837209808982114","@EvaFoxU @peterrhague 😂","qme","Reply","Kekius Maximus","elonmusk","25094","110","51","10","610","10","2025-05-18 01:55:08","https://x.com/elonmusk/status/1923837209808982114","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923837080955699531","@LightningftwLeo @peterrhague 🦾","qme","Reply","Kekius Maximus","elonmusk","20126","82","46","11","526","10","2025-05-18 01:54:37","https://x.com/elonmusk/status/1923837080955699531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923836249502048476","@TheTeslaBull @peterrhague That too","en","Reply","Kekius Maximus","elonmusk","23752","74","40","6","440","4","2025-05-18 01:51:19","https://x.com/elonmusk/status/1923836249502048476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923836140387217748","@HeavyMetalShip @peterrhague 💯","qme","Reply","Kekius Maximus","elonmusk","17224","67","49","7","464","7","2025-05-18 01:50:53","https://x.com/elonmusk/status/1923836140387217748","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923835893925708180","@gork @BigImpactHumans @peterrhague 🎯","qme","Reply","Kekius Maximus","elonmusk","22801","87","44","5","639","7","2025-05-18 01:49:54","https://x.com/elonmusk/status/1923835893925708180","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923835843921219990","@gork @BigImpactHumans @peterrhague 😂","qme","Reply","Kekius Maximus","elonmusk","20078","76","45","6","485","7","2025-05-18 01:49:42","https://x.com/elonmusk/status/1923835843921219990","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923835053022363750","@peterrhague Please put “Never went to therapy” on my gravestone","en","Reply","Kekius Maximus","elonmusk","378649","366","140","35","2388","80","2025-05-18 01:46:34","https://x.com/elonmusk/status/1923835053022363750","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923785585107534016","https://t.co/sudHJIVOXK","zxx","Retweet","Adrian Dittmann","AdrianDittmann","1570268","1171","3335","188","20481","2040","2025-05-17 22:30:00","https://x.com/AdrianDittmann/status/1923785585107534016","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GrKDsHOX0AAhvo9.jpg"
"1923808179336384909","People keep saying that ""batteries are bad"" because: 

""batteries don't create energy. batteries consume energy.""

Nothing. Creates. Energy.

Energy is neither created nor destroyed.

""Energy production"" and ""energy consumption"" are economic terms — not physics terms.

We don't actually produce or consume energy.
We direct energy.

The function of a battery is not upstream energy harvesting, but that's also not the function of a thermal generator.

The energy doesn't come from the generator.
The energy comes from the fuel.

We have to extract, refine, and transport that fuel. The generator is there to dispatch that chemical potential energy as electricity when it's needed.

That's what batteries do too, because:

Batteries ARE generators.

Batteries aren't electromechanical generators, but neither are photovoltaics or fuel cells.

Like chemical-fueled thermal generators, batteries convert chemical potential energy into electrical energy. The difference with batteries is that the process has fewer steps and is easily reversible.

Batteries provide a buffer, matching up supply and demand in time. They act as a cache, providing higher peak power at lower latency than a thermal generator of comparable mass or cost.

Batteries are an extremely useful tool for directing the flow of energy.

Batteries don't ""create energy""  — that's true.
Nothing. Creates. Energy.","en","Retweet","Jesse Peltan","JessePeltan","1821750","560","917","46","4109","521","2025-05-17 23:59:47","https://x.com/JessePeltan/status/1923808179336384909","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1923820556962402348","@JessePeltan Do they not teach these elementary principles in high school anymore?","en","Reply","Kekius Maximus","elonmusk","30327","233","90","11","953","29","2025-05-18 00:48:58","https://x.com/elonmusk/status/1923820556962402348","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923815958747152656","High-speed internet on the go 🛰️🐟","en","Retweet","Starlink","Starlink","1808641","516","970","23","5606","100","2025-05-18 00:30:41","https://x.com/Starlink/status/1923815958747152656","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1923798364686078228","@CyrilRamaphosa Those are good words, but the laws do not currently match the words","en","Reply","Kekius Maximus","elonmusk","32214","202","114","16","1812","32","2025-05-17 23:20:47","https://x.com/elonmusk/status/1923798364686078228","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923612698253668683","China's electricity per capita is up 569%

Ours is down 7%

Yeah we've had some energy efficiency gains and that's great, but we need more electricity.

We should be building industrial capacity and electrifying our economy. https://t.co/JlEq1YZm4K","en","Retweet","Jesse Peltan","JessePeltan","1885013","651","999","54","4998","221","2025-05-17 11:03:00","https://x.com/JessePeltan/status/1923612698253668683","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GrIF8e3XoAAnwCj.jpg"
"1923779873778319764","All Lives Matter","en","Retweet","The Rabbit Hole","TheRabbitHole84","1232837","1039","1279","87","8815","139","2025-05-17 22:07:18","https://x.com/TheRabbitHole84/status/1923779873778319764","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923779821101805889","@SwipeWright !!","qam","Reply","Kekius Maximus","elonmusk","78230","118","54","8","846","12","2025-05-17 22:07:06","https://x.com/elonmusk/status/1923779821101805889","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923779598908588080","@davidsacks47 🇺🇸","qme","Reply","Kekius Maximus","elonmusk","34213","99","68","6","742","16","2025-05-17 22:06:13","https://x.com/elonmusk/status/1923779598908588080","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923779456893657194","@thatsKAIZEN True","en","Reply","Kekius Maximus","elonmusk","31119","107","72","6","867","11","2025-05-17 22:05:39","https://x.com/elonmusk/status/1923779456893657194","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923589131625505124","@JessePeltan For now","en","Reply","Kekius Maximus","elonmusk","52504","210","91","18","994","40","2025-05-17 09:29:22","https://x.com/elonmusk/status/1923589131625505124","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923489176055402919","Really enjoyed my conversation with @friedberg on @theallinpod! Fun to look ahead to the future of Search, AI, quantum, and more.","en","Retweet","Sundar Pichai","sundarpichai","2279784","606","1058","38","7712","365","2025-05-17 02:52:10","https://x.com/sundarpichai/status/1923489176055402919","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1923549010997965010","@zerohedge The legacy media deliberately deceived the public","en","Reply","Kekius Maximus","elonmusk","107552","307","300","15","2456","60","2025-05-17 06:49:56","https://x.com/elonmusk/status/1923549010997965010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923548317616685497","@wbfactor @VivekRammaswamy That’s not Vivek. Account impersonator.","en","Reply","Kekius Maximus","elonmusk","43576","130","74","8","727","13","2025-05-17 06:47:11","https://x.com/elonmusk/status/1923548317616685497","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923547847397384234","@CathieDWood ♥️","qme","Reply","Kekius Maximus","elonmusk","86589","178","114","9","1798","29","2025-05-17 06:45:19","https://x.com/elonmusk/status/1923547847397384234","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923531565499376055","@EvaFoxU So … upper right then","en","Reply","Kekius Maximus","elonmusk","51126","265","86","11","1064","32","2025-05-17 05:40:37","https://x.com/elonmusk/status/1923531565499376055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923497002257535407","Yo Timmy, how’s your day bro? 🤡","en","Reply","Kekius Maximus","elonmusk","3143228","2447","2935","246","24454","607","2025-05-17 03:23:16","https://x.com/elonmusk/status/1923497002257535407","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923496336558621137","@Teslarati Not correct. We are building a production line to enable 1000/month Optimus production, but that is still many months away.","en","Reply","Kekius Maximus","elonmusk","168294","192","220","43","2435","101","2025-05-17 03:20:38","https://x.com/elonmusk/status/1923496336558621137","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923467835398844787","Legacy Media trying to find Elon Musk on 𝕏, and suddenly he comes out like: ""My name is Kekius Maximus Reevius Memius, the Dogefather, and Commander of 𝕏 shitposters."" 😂

Kekius Maximus is back! ⚔️ https://t.co/2fMHw7l0NC","en","Retweet","SMX 🇺🇸","iam_smx","2668997","1431","2929","164","15854","873","2025-05-17 01:27:22","https://x.com/iam_smx/status/1923467835398844787","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/1874150214740725760/pu/vid/avc1/1920x1080/wQ5qPButSceuEYUa.mp4?tag=14"
"1923493026279645330","@cb_doge Tim Walz looks lien the clown emoji came to life 🤡","en","Reply","Kekius Maximus","elonmusk","69455","364","205","19","2314","36","2025-05-17 03:07:28","https://x.com/elonmusk/status/1923493026279645330","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923492241546301882","@gardirms Horrific","es","Reply","Kekius Maximus","elonmusk","42859","104","99","5","1072","19","2025-05-17 03:04:21","https://x.com/elonmusk/status/1923492241546301882","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1923489364857786470","If ""too much solar"" is what's keeping us from growing,

how was China able to grow 7.5x since 2000? https://t.co/GS0MjB2hpC","en","Retweet","Jesse Peltan","JessePeltan","3162405","1169","1351","47","4877","233","2025-05-17 02:52:55","https://x.com/JessePeltan/status/1923489364857786470","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GrGaiVZW0AAA2D7.jpg"
"1923478870856171999","Starlink Mini is portable, fits in a backpack and connects to high-speed internet in minutes.

Now $299 ($200 off the standard price) for the Starlink Mini Kit in the US until May 28. Puppy not included.

Easy to order online → https://t.co/4Kynr33sxO https://t.co/CT0wIsQcdh","en","Retweet","Starlink","Starlink","1320955","820","1881","101","8833","662","2025-05-17 02:11:13","https://x.com/Starlink/status/1923478870856171999","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","http://starlink.com/roam-mini","photo","https://pbs.twimg.com/media/GrGRLQPaAAAM2Pi.jpg"
"1923491062565437648","Just received this from a friend visiting South Africa https://t.co/5DteFPnRrZ","en","Tweet","Kekius Maximus","elonmusk","38633428","12672","28696","2348","156746","21384","2025-05-17 02:59:40","https://x.com/elonmusk/status/1923491062565437648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/GrGc7G3WUAAVKEj.jpg"
